mito,geno,sex,chromo,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Zim,8906,m,Cy,7,1,Zim_8906_m_Cy_7__5,49,99,2.9811,30.9271,0.9953,0,0.0221
Zim,8906,m,Cy,7,1,Zim_8906_m_Cy_7__6,58,108,3.8529,-7.9788,0.9848,0,0.0516
Zim,8906,m,Cy,7,1,Zim_8906_m_Cy_7__all,17,67,2.5354,32.0479,0.9951,0,0.0191
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__1,63,113,2.45,43.9849,0.991,0,0.0251
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__2,1,51,1.977,37.6362,0.9781,0,0.032
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__3,49,99,2.4609,3.895,0.9899,0,0.0268
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__4,20,70,4.3375,8.6255,0.9954,0,0.0318
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__5,5,55,2.1174,27.7241,0.9874,0,0.0258
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__6,15,65,3.5041,20.3011,0.9932,0,0.0313
Zim,8906,m,Cy,7,2,Zim_8906_m_Cy_7__all,19,69,2.7533,25.0312,0.997,0,0.0163
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__1,79,129,1.8911,66.4643,0.9922,0,0.0181
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__2,39,89,2.5025,15.538,0.9912,0,0.0254
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__3,30,80,3.3409,11.8216,0.9936,0,0.029
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__4,11,61,4.7404,29.9437,0.9918,0,0.0464
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__5,18,68,3.3366,18.5712,0.9959,0,0.023
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__6,1,51,2.332,31.4238,0.985,0,0.0311
Zim,8906,m,Cy,7,3,Zim_8906_m_Cy_7__all,20,70,3.2782,20.5027,0.9972,0,0.0186
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__1,37,87,2.2631,14.2901,0.9868,0,0.0282
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__2,90,140,2.7801,-26.3482,0.9892,0,0.0313
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__3,50,100,2.8377,-4.9079,0.9888,0,0.0326
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__4,50,100,2.1752,30.9011,0.9791,0,0.0343
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__5,9,59,1.8458,43.4911,0.9779,0,0.03
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__6,18,68,2.5346,34.9453,0.9771,0,0.042
Zim,8906,m,Df,7,1,Zim_8906_m_Df_7__all,83,133,2.0983,30.284,0.994,0,0.0175
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__1,20,70,1.6625,49.6772,0.9722,0,0.0304
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__2,15,65,1.4145,33.4847,0.9802,0,0.0217
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__3,18,68,1.6766,52.3761,0.974,0,0.0296
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__4,44,94,2.513,19.337,0.9814,0,0.0373
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__5,16,66,1.2978,31.8214,0.9629,0,0.0276
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__6,48,98,2.0926,-3.2138,0.9805,0,0.0319
Zim,8906,m,Df,7,2,Zim_8906_m_Df_7__all,36,86,1.6676,33.873,0.9953,0,0.0123
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__1,32,82,1.8736,33.2672,0.9859,0,0.0241
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__2,7,57,0.8881,43.0344,0.963,0,0.0189
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__3,20,70,1.0583,49.8202,0.9292,0,0.032
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__4,12,62,1.6617,44.8489,0.9747,0,0.029
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__5,83,133,1.6196,9.8464,0.9706,0,0.0305
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__6,56,106,2.3519,7.1053,0.9838,0,0.0326
Zim,8906,m,Df,7,3,Zim_8906_m_Df_7__all,56,106,1.7087,27.5341,0.9917,0,0.0168
