mito,geno,sex,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
sm21,1491,m,10,4,sm21_1491_m_10__5,31,81,2.0546,56.6445,0.9744,0,0.0677
sm21,1491,m,10,4,sm21_1491_m_10__6,14,64,1.5641,81.0703,0.9777,0,0.048
sm21,1491,m,10,4,sm21_1491_m_10__all,16,66,1.524,64.9334,0.9935,0,0.0249
sm21,4959,f,10,1,sm21_4959_f_10__1,36,86,2.5292,25.9358,0.9951,0,0.0357
sm21,4959,f,10,1,sm21_4959_f_10__2,32,82,2.1274,24.7569,0.9928,0,0.0367
sm21,4959,f,10,1,sm21_4959_f_10__3,58,108,2.7599,-28.8118,0.9922,0,0.0497
sm21,4959,f,10,1,sm21_4959_f_10__4,46,96,2.5033,11.908,0.9856,0,0.0614
sm21,4959,f,10,1,sm21_4959_f_10__5,0,50,1.7386,60.2008,0.9892,0,0.0368
sm21,4959,f,10,1,sm21_4959_f_10__6,0,50,1.4035,54.8081,0.9917,0,0.026
sm21,4959,f,10,1,sm21_4959_f_10__all,11,61,1.78,44.9215,0.9988,0,0.0125
sm21,4959,f,10,2,sm21_4959_f_10__1,31,81,2.484,-7.8035,0.9934,0,0.0408
sm21,4959,f,10,2,sm21_4959_f_10__2,35,85,2.4226,12.4218,0.9919,0,0.0443
sm21,4959,f,10,2,sm21_4959_f_10__3,25,75,1.7367,41.6531,0.9882,0,0.0384
sm21,4959,f,10,2,sm21_4959_f_10__4,4,54,1.4074,41.3376,0.9882,0,0.0311
sm21,4959,f,10,2,sm21_4959_f_10__5,23,73,2.3157,16.6534,0.9887,0,0.0501
sm21,4959,f,10,2,sm21_4959_f_10__6,35,85,2.2979,6.3079,0.9921,0,0.0416
sm21,4959,f,10,2,sm21_4959_f_10__all,32,82,2.0618,20.6518,0.9968,0,0.0236
sm21,4959,f,10,3,sm21_4959_f_10__1,13,63,1.6074,34.8747,0.9945,0,0.0242
sm21,4959,f,10,3,sm21_4959_f_10__2,6,56,1.1346,36.2733,0.9879,0,0.0254
sm21,4959,f,10,3,sm21_4959_f_10__3,11,61,1.5031,45.2386,0.9861,0,0.0361
sm21,4959,f,10,3,sm21_4959_f_10__4,49,99,1.8386,17.6893,0.9843,0,0.0471
sm21,4959,f,10,3,sm21_4959_f_10__5,13,63,1.4988,57.3056,0.9795,0,0.044
sm21,4959,f,10,3,sm21_4959_f_10__6,48,98,2.2539,-7.993,0.9975,0,0.0229
sm21,4959,f,10,3,sm21_4959_f_10__all,13,63,1.4267,41.6678,0.9983,0,0.0117
sm21,4959,f,10,4,sm21_4959_f_10__1,3,53,1.2598,64.38,0.9724,0,0.0432
sm21,4959,f,10,4,sm21_4959_f_10__2,2,52,0.9519,46.4654,0.9746,0,0.0312
sm21,4959,f,10,4,sm21_4959_f_10__3,0,50,1.2075,54.4127,0.9773,0,0.0374
sm21,4959,f,10,4,sm21_4959_f_10__4,52,102,1.8032,1.7137,0.9895,0,0.0376
sm21,4959,f,10,4,sm21_4959_f_10__5,16,66,1.5355,46.4327,0.992,0,0.0278
sm21,4959,f,10,4,sm21_4959_f_10__6,2,52,1.6614,56.4742,0.9808,0,0.0472
sm21,4959,f,10,4,sm21_4959_f_10__all,4,54,1.2536,52.0489,0.996,0,0.0161
sm21,4959,m,10,1,sm21_4959_m_10__1,0,50,1.4768,54.4972,0.9741,0,0.0489
sm21,4959,m,10,1,sm21_4959_m_10__2,1,51,1.7701,47.483,0.9816,0,0.0492
sm21,4959,m,10,1,sm21_4959_m_10__3,14,64,1.729,41.4289,0.9843,0,0.0443
sm21,4959,m,10,1,sm21_4959_m_10__4,42,92,1.8943,45.8422,0.9748,0,0.0619
sm21,4959,m,10,1,sm21_4959_m_10__5,4,54,0.9607,58.4314,0.9627,0,0.0386
sm21,4959,m,10,1,sm21_4959_m_10__6,40,90,2.2946,14.646,0.9814,0,0.0642
sm21,4959,m,10,1,sm21_4959_m_10__all,42,92,1.6217,44.7578,0.9956,0,0.0219
sm21,4959,m,10,2,sm21_4959_m_10__1,54,104,1.6754,40.8673,0.9758,0,0.0536
sm21,4959,m,10,2,sm21_4959_m_10__2,22,72,1.6095,43.388,0.9614,0,0.0658
sm21,4959,m,10,2,sm21_4959_m_10__3,10,60,1.8704,57.355,0.9816,0,0.0519
sm21,4959,m,10,2,sm21_4959_m_10__4,42,92,2.3653,1.5055,0.9929,0,0.0405
sm21,4959,m,10,2,sm21_4959_m_10__5,1,51,1.3838,48.8198,0.9918,0,0.0254
sm21,4959,m,10,2,sm21_4959_m_10__6,0,50,1.5887,67.5576,0.9873,0,0.0365
sm21,4959,m,10,2,sm21_4959_m_10__all,6,56,1.4522,59.0335,0.9977,0,0.0141
sm21,4959,m,10,3,sm21_4959_m_10__1,59,109,1.322,48.7904,0.971,0,0.0465
sm21,4959,m,10,3,sm21_4959_m_10__2,57,107,1.7239,27.0793,0.9843,0,0.0441
sm21,4959,m,10,3,sm21_4959_m_10__3,8,58,1.1474,57.1461,0.964,0,0.0452
sm21,4959,m,10,3,sm21_4959_m_10__4,15,65,2.4596,44.8954,0.986,0,0.0595
sm21,4959,m,10,3,sm21_4959_m_10__5,0,50,1.0459,63.3119,0.9575,0,0.045
sm21,4959,m,10,3,sm21_4959_m_10__6,4,54,2.0494,53.9926,0.9968,0,0.0236
sm21,4959,m,10,3,sm21_4959_m_10__all,0,50,1.5547,57.9783,0.9949,0,0.0226
sm21,4959,m,10,4,sm21_4959_m_10__1,20,70,1.2798,47.1617,0.9735,0,0.043
sm21,4959,m,10,4,sm21_4959_m_10__2,56,106,0.9519,30.3662,0.965,0,0.037
sm21,4959,m,10,4,sm21_4959_m_10__3,53,103,1.5355,17.2939,0.9788,0,0.0459
sm21,4959,m,10,4,sm21_4959_m_10__4,41,91,1.3298,50.4886,0.9844,0,0.034
sm21,4959,m,10,4,sm21_4959_m_10__5,19,69,1.0315,43.7429,0.9864,0,0.0246
sm21,4959,m,10,4,sm21_4959_m_10__6,18,68,1.673,53.1777,0.9915,0,0.0314
sm21,4959,m,10,4,sm21_4959_m_10__all,25,75,1.1351,49.689,0.9973,0,0.012
sm21,7837,f,10,1,sm21_7837_f_10__1,29,79,2.6779,-4.7072,0.994,0,0.042
sm21,7837,f,10,1,sm21_7837_f_10__2,75,125,1.9617,-10.2851,0.9823,0,0.0534
sm21,7837,f,10,1,sm21_7837_f_10__3,16,66,1.483,22.256,0.9831,0,0.0395
sm21,7837,f,10,1,sm21_7837_f_10__4,0,50,1.5853,46.4308,0.9772,0,0.0492
sm21,7837,f,10,1,sm21_7837_f_10__5,87,137,1.5679,79.6427,0.9975,0,0.0158
sm21,7837,f,10,1,sm21_7837_f_10__6,18,68,2.049,29.8786,0.989,0,0.0437
sm21,7837,f,10,1,sm21_7837_f_10__all,16,66,1.8339,29.4976,0.9978,0,0.0173
sm21,7837,f,10,2,sm21_7837_f_10__1,69,119,2.5986,-23.9945,0.9992,0,0.0148
sm21,7837,f,10,2,sm21_7837_f_10__2,54,104,1.7283,13.3832,0.9828,0,0.0463
sm21,7837,f,10,2,sm21_7837_f_10__3,28,78,1.4874,7.8886,0.9936,0,0.0242
sm21,7837,f,10,2,sm21_7837_f_10__4,7,57,1.7231,23.337,0.9953,0,0.024
sm21,7837,f,10,2,sm21_7837_f_10__5,30,80,2.3016,17.7942,0.9963,0,0.0283
sm21,7837,f,10,2,sm21_7837_f_10__6,51,101,1.6,30.8013,0.9877,0,0.0362
sm21,7837,f,10,2,sm21_7837_f_10__all,42,92,1.9724,7.3033,0.9988,0,0.0138
sm21,7837,f,10,3,sm21_7837_f_10__1,71,121,1.9498,58.6165,0.9941,0,0.0303
sm21,7837,f,10,3,sm21_7837_f_10__2,51,101,2.2293,-7.2645,0.9951,0,0.0317
sm21,7837,f,10,3,sm21_7837_f_10__3,59,109,1.9323,-12.5072,0.9971,0,0.0212
sm21,7837,f,10,3,sm21_7837_f_10__4,25,75,2.0859,-1.8287,0.9927,0,0.0362
sm21,7837,f,10,3,sm21_7837_f_10__5,22,72,2.266,21.7526,0.9962,0,0.0283
sm21,7837,f,10,3,sm21_7837_f_10__6,14,64,1.9685,16.982,0.992,0,0.0358
sm21,7837,f,10,3,sm21_7837_f_10__all,41,91,2.2906,-2.7037,0.9983,0,0.0194
sm21,7837,f,10,4,sm21_7837_f_10__1,57,107,3.1031,-74.8844,0.9933,0,0.0514
sm21,7837,f,10,4,sm21_7837_f_10__2,24,74,2.0005,12.9645,0.9933,0,0.0333
sm21,7837,f,10,4,sm21_7837_f_10__3,55,105,1.7098,0.7444,0.9921,0,0.0309
sm21,7837,f,10,4,sm21_7837_f_10__4,3,53,1.5977,31.0342,0.9915,0,0.0299
sm21,7837,f,10,4,sm21_7837_f_10__5,42,92,2.0752,12.6068,0.9957,0,0.0277
sm21,7837,f,10,4,sm21_7837_f_10__6,21,71,2.556,8.2314,0.9958,0,0.0336
sm21,7837,f,10,4,sm21_7837_f_10__all,27,77,1.907,15.5993,0.9981,0,0.0166
sm21,7837,m,10,1,sm21_7837_m_10__1,69,119,1.6687,75.9245,0.99,0,0.034
sm21,7837,m,10,1,sm21_7837_m_10__2,4,54,0.8933,55.352,0.9652,0,0.0346
sm21,7837,m,10,1,sm21_7837_m_10__3,63,113,1.554,22.0398,0.9887,0,0.0337
sm21,7837,m,10,1,sm21_7837_m_10__4,15,65,1.5134,13.4667,0.9928,0,0.026
sm21,7837,m,10,1,sm21_7837_m_10__5,53,103,1.656,18.8459,0.9862,0,0.0397
sm21,7837,m,10,1,sm21_7837_m_10__6,47,97,1.6004,35.6779,0.9787,0,0.0479
sm21,7837,m,10,1,sm21_7837_m_10__all,10,60,1.3553,37.397,0.9982,0,0.0118
sm21,7837,m,10,2,sm21_7837_m_10__1,40,90,2.4013,-12.9222,0.9902,0,0.0484
sm21,7837,m,10,2,sm21_7837_m_10__2,26,76,1.5783,20.1456,0.9701,0,0.0564
sm21,7837,m,10,2,sm21_7837_m_10__3,36,86,1.6214,25.8355,0.9795,0,0.0476
sm21,7837,m,10,2,sm21_7837_m_10__4,30,80,1.4002,15.5898,0.981,0,0.0395
sm21,7837,m,10,2,sm21_7837_m_10__5,40,90,1.6353,14.979,0.9854,0,0.0404
sm21,7837,m,10,2,sm21_7837_m_10__6,49,99,1.8951,-36.4842,0.9905,0,0.0375
sm21,7837,m,10,2,sm21_7837_m_10__all,37,87,1.6666,11.4993,0.9955,0,0.0227
sm21,7837,m,10,3,sm21_7837_m_10__1,12,62,2.9191,36.0261,0.9919,0,0.0535
sm21,7837,m,10,3,sm21_7837_m_10__2,40,90,1.5565,14.0935,0.9858,0,0.0378
sm21,7837,m,10,3,sm21_7837_m_10__3,69,119,1.6679,8.2764,0.9753,0,0.054
sm21,7837,m,10,3,sm21_7837_m_10__4,39,89,1.0307,17.6121,0.9897,0,0.0213
sm21,7837,m,10,3,sm21_7837_m_10__5,9,59,1.0433,31.8352,0.9792,0,0.0309
sm21,7837,m,10,3,sm21_7837_m_10__6,27,77,1.8215,16.0085,0.9871,0,0.0422
sm21,7837,m,10,3,sm21_7837_m_10__all,39,89,1.4886,28.3774,0.9967,0,0.0173
sm21,7837,m,10,4,sm21_7837_m_10__1,18,68,2.5388,42.1739,0.9892,0,0.0538
sm21,7837,m,10,4,sm21_7837_m_10__2,46,96,1.6021,25.6158,0.9855,0,0.0393
sm21,7837,m,10,4,sm21_7837_m_10__3,27,77,2.0107,7.8756,0.9749,0,0.0656
sm21,7837,m,10,4,sm21_7837_m_10__4,1,51,0.8882,45.3297,0.9792,0,0.0263
sm21,7837,m,10,4,sm21_7837_m_10__5,45,95,1.8495,36.9795,0.9905,0,0.0367
sm21,7837,m,10,4,sm21_7837_m_10__6,7,57,1.3086,60.169,0.9695,0,0.0473
sm21,7837,m,10,4,sm21_7837_m_10__all,35,85,1.8728,27.6612,0.9976,0,0.0187
sm21,w1118,f,10,1,sm21_w1118_f_10__1,55,105,2.0993,-9.254,0.9953,0,0.0292
sm21,w1118,f,10,1,sm21_w1118_f_10__2,22,72,1.273,29.6687,0.9806,0,0.0363
sm21,w1118,f,10,1,sm21_w1118_f_10__3,20,70,1.2219,19.3582,0.9896,0,0.0253
sm21,w1118,f,10,1,sm21_w1118_f_10__4,53,103,1.6372,13.9901,0.988,0,0.0366
sm21,w1118,f,10,1,sm21_w1118_f_10__5,32,82,1.9281,14.7084,0.9955,0,0.0263
sm21,w1118,f,10,1,sm21_w1118_f_10__6,72,122,2.1418,-33.3171,0.9979,0,0.0199
sm21,w1118,f,10,1,sm21_w1118_f_10__all,54,104,1.6652,9.0422,0.9972,0,0.0179
sm21,w1118,f,10,2,sm21_w1118_f_10__1,0,50,0.9125,39.6155,0.9834,0,0.024
sm21,w1118,f,10,2,sm21_w1118_f_10__2,44,94,1.4956,12.0784,0.983,0,0.0399
sm21,w1118,f,10,2,sm21_w1118_f_10__3,30,80,1.6153,23.5009,0.9866,0,0.0382
sm21,w1118,f,10,2,sm21_w1118_f_10__4,17,67,1.4307,20.3926,0.988,0,0.032
sm21,w1118,f,10,2,sm21_w1118_f_10__5,43,93,1.9057,7.8812,0.9889,0,0.0409
sm21,w1118,f,10,2,sm21_w1118_f_10__6,0,50,1.1032,34.4085,0.993,0,0.0188
sm21,w1118,f,10,2,sm21_w1118_f_10__all,16,66,1.259,31.5731,0.9943,0,0.0192
sm21,w1118,f,10,3,sm21_w1118_f_10__1,6,56,1.5474,38.7274,0.9922,0,0.0278
sm21,w1118,f,10,3,sm21_w1118_f_10__2,38,88,1.439,4.5705,0.9905,0,0.0286
sm21,w1118,f,10,3,sm21_w1118_f_10__3,16,66,1.3622,24.662,0.9853,0,0.0338
sm21,w1118,f,10,3,sm21_w1118_f_10__4,82,132,1.5197,11.1863,0.9938,0,0.0243
sm21,w1118,f,10,3,sm21_w1118_f_10__5,20,70,1.3766,22.0764,0.9896,0,0.0286
sm21,w1118,f,10,3,sm21_w1118_f_10__6,31,81,1.2954,7.3725,0.9877,0,0.0293
sm21,w1118,f,10,3,sm21_w1118_f_10__all,32,82,1.3543,21.9719,0.9972,0,0.0146
sm21,w1118,f,10,4,sm21_w1118_f_10__1,0,50,1.3418,38.3093,0.9817,0,0.0372
sm21,w1118,f,10,4,sm21_w1118_f_10__2,55,105,1.5967,-15.41,0.9821,0,0.0437
sm21,w1118,f,10,4,sm21_w1118_f_10__3,36,86,1.3808,12.3999,0.986,0,0.0334
sm21,w1118,f,10,4,sm21_w1118_f_10__4,69,119,1.383,40.6692,0.9918,0,0.0254
sm21,w1118,f,10,4,sm21_w1118_f_10__5,3,53,1.239,30.1781,0.9917,0,0.023
sm21,w1118,f,10,4,sm21_w1118_f_10__6,2,52,1.1163,25.6662,0.9913,0,0.0212
sm21,w1118,f,10,4,sm21_w1118_f_10__all,41,91,1.4352,13.7699,0.997,0,0.0158
sm21,w1118,m,10,1,sm21_w1118_m_10__1,22,72,1.2214,73.1584,0.9798,0,0.0356
sm21,w1118,m,10,1,sm21_w1118_m_10__2,9,59,2.2918,35.963,0.9808,0,0.0651
sm21,w1118,m,10,1,sm21_w1118_m_10__3,9,59,2.3458,49.3876,0.9899,0,0.0481
sm21,w1118,m,10,1,sm21_w1118_m_10__4,2,52,1.6218,43.0789,0.9882,0,0.0359
sm21,w1118,m,10,1,sm21_w1118_m_10__5,0,50,2.1412,62.6412,0.9896,0,0.0444
sm21,w1118,m,10,1,sm21_w1118_m_10__6,27,77,1.7091,34.3698,0.9879,0,0.0383
sm21,w1118,m,10,1,sm21_w1118_m_10__all,27,77,1.7881,53.976,0.9968,0,0.0205
sm21,w1118,m,10,2,sm21_w1118_m_10__1,0,50,0.6908,54.7889,0.9605,0,0.0286
sm21,w1118,m,10,2,sm21_w1118_m_10__2,2,52,1.0587,44.2047,0.9759,0,0.0338
sm21,w1118,m,10,2,sm21_w1118_m_10__3,13,63,1.6054,38.6386,0.9782,0,0.0487
sm21,w1118,m,10,2,sm21_w1118_m_10__4,48,98,1.3127,43.2288,0.9738,0,0.0438
sm21,w1118,m,10,2,sm21_w1118_m_10__5,14,64,2.2815,14.1771,0.9976,0,0.0225
sm21,w1118,m,10,2,sm21_w1118_m_10__6,17,67,1.9403,23.6966,0.9924,0,0.0344
sm21,w1118,m,10,2,sm21_w1118_m_10__all,8,58,1.4303,39.5597,0.9966,0,0.0168
sm21,w1118,m,10,3,sm21_w1118_m_10__1,2,52,1.5448,31.0403,0.9824,0,0.0419
sm21,w1118,m,10,3,sm21_w1118_m_10__2,1,51,1.1796,44.0406,0.975,0,0.0384
sm21,w1118,m,10,3,sm21_w1118_m_10__3,1,51,1.2278,48.2068,0.977,0,0.0383
sm21,w1118,m,10,3,sm21_w1118_m_10__4,1,51,1.5625,38.0475,0.9931,0,0.0263
sm21,w1118,m,10,3,sm21_w1118_m_10__5,23,73,1.4019,51.6128,0.9834,0,0.037
sm21,w1118,m,10,3,sm21_w1118_m_10__6,46,96,1.7862,7.9262,0.9877,0,0.0405
sm21,w1118,m,10,3,sm21_w1118_m_10__all,14,64,1.3471,42.4018,0.9972,0,0.0144
sm21,w1118,m,10,4,sm21_w1118_m_10__1,28,78,1.3071,16.2142,0.9677,0,0.0487
sm21,w1118,m,10,4,sm21_w1118_m_10__2,20,70,0.9578,31.3386,0.9783,0,0.029
sm21,w1118,m,10,4,sm21_w1118_m_10__3,30,80,1.7003,23.7105,0.9732,0,0.0574
sm21,w1118,m,10,4,sm21_w1118_m_10__4,8,58,1.5774,37.7378,0.9915,0,0.0295
sm21,w1118,m,10,4,sm21_w1118_m_10__5,21,71,1.5669,22.4534,0.9947,0,0.0232
sm21,w1118,m,10,4,sm21_w1118_m_10__6,23,73,1.3783,20.9991,0.9918,0,0.0254
sm21,w1118,m,10,4,sm21_w1118_m_10__all,23,73,1.357,28.3927,0.9964,0,0.0164
w1118,1491,f,10,1,w1118_1491_f_10__1,28,78,0.801,66.7165,0.9051,0,0.0538
w1118,1491,f,10,1,w1118_1491_f_10__2,16,66,2.1252,88.1335,0.9736,0,0.0712
w1118,1491,f,10,1,w1118_1491_f_10__3,16,66,1.4161,103.391,0.9734,0,0.0476
w1118,1491,f,10,1,w1118_1491_f_10__4,20,70,2.1291,36.9355,0.9884,0,0.0468
w1118,1491,f,10,1,w1118_1491_f_10__5,13,63,1.2248,59.5909,0.9612,0,0.0502
