fly,X,Y,mito,nuc,sex
16,322,0.873303167,w1118,4959,f
17,125,0.969230769,w1118,4959,f
18,416,0.838914027,w1118,4959,f
19,403,0.859728507,w1118,4959,f
20,250,0.873303167,w1118,4959,f
21,144,0.876923077,w1118,4959,f
22,259,0.898642534,w1118,4959,f
23,420,0.805429864,w1118,4959,f
24,211,0.885067873,w1118,4959,f
25,45,0.9239819,w1118,4959,f
26,173,0.066063348,w1118,4959,f
27,100,0.836199095,w1118,4959,f
28,413,0.862443439,w1118,4959,f
29,226,0.932126697,w1118,4959,f
30,298,0.937556561,w1118,4959,f
31,373,0.899547511,w1118,4959,f
32,64,0.905882353,w1118,4959,f
33,102,0.850678733,w1118,4959,f
34,329,0.878733032,w1118,4959,f
35,365,0.780995475,w1118,4959,f
36,350,0.869683258,w1118,4959,f
37,22,0.897737557,w1118,4959,f
38,341,0.933031674,w1118,4959,f
39,123,0.545701357,w1118,4959,f
40,319,0.733031674,w1118,4959,f
41,254,0.786425339,w1118,4959,f
42,59,0.789140271,w1118,4959,f
43,387,0.825339367,w1118,4959,f
44,104,0.849773756,w1118,4959,f
45,95,0.863348416,w1118,4959,f
46,98,0.864253394,w1118,4959,f
47,201,0.870588235,w1118,4959,f
48,327,0.870588235,w1118,4959,f
49,130,0.871493213,w1118,4959,f
50,354,0.479638009,w1118,4959,f
51,290,0.499547511,w1118,4959,f
52,208,0.580995475,w1118,4959,f
53,42,0.759276018,w1118,4959,f
54,363,0.853393665,w1118,4959,f
55,435,0.857013575,w1118,4959,f
56,331,0.925791855,w1118,4959,f
57,388,0.933031674,w1118,4959,f
58,122,0.768325792,w1118,4959,f
59,434,0.780090498,w1118,4959,f
60,265,0.715837104,w1118,4959,f
61,129,0.789140271,w1118,4959,f
62,340,0.870588235,w1118,4959,f
63,305,0.888687783,w1118,4959,f
64,277,0.933936652,w1118,4959,f
65,282,0.957466063,w1118,4959,f
66,244,0.590950226,w1118,4959,f
67,124,0.813574661,w1118,4959,f
68,81,0.837104072,w1118,4959,f
69,388,0.852488688,w1118,4959,f
70,343,0.90678733,w1118,4959,f
71,56,0.936651584,w1118,4959,f
72,94,0.735746606,w1118,4959,f
73,274,0.854298643,w1118,4959,f
74,260,0.799095023,w1118,4959,f
75,362,0.875113122,w1118,4959,f
76,264,0.616289593,w1118,4959,f
77,235,0.719457014,w1118,4959,f
78,92,0.894117647,w1118,4959,f
79,52,0.901357466,w1118,4959,f
80,314,0.632579186,w1118,4959,f
81,77,0.677828054,w1118,4959,f
82,103,0.680542986,w1118,4959,f
83,276,0.828054299,w1118,4959,f
84,134,0.846153846,w1118,4959,f
85,252,0.890497738,w1118,4959,f
86,201,0.891402715,w1118,4959,f
87,276,0.766515837,w1118,4959,f
88,89,0.902262443,w1118,4959,f
89,275,0.950226244,w1118,4959,f
90,229,0.478733032,w1118,4959,f
91,48,0.793665158,w1118,4959,f
92,138,0.839819005,w1118,4959,f
93,144,0.866063348,w1118,4959,f
94,217,0.429864253,w1118,4959,f
95,85,0.702262443,w1118,4959,f
96,134,0.71040724,w1118,4959,f
97,237,0.923076923,w1118,4959,f
98,231,0.421719457,w1118,4959,f
99,301,0.890497738,w1118,4959,f
100,264,0.912217195,w1118,4959,f
101,425,0.868778281,w1118,4959,f
102,287,0.676923077,w1118,4959,f
103,54,0.778280543,w1118,4959,f
104,265,0.747511312,w1118,4959,f
105,155,0.762895928,w1118,4959,f
106,268,0.721266968,w1118,4959,f
107,50,0.840723982,w1118,4959,f
108,439,-0.03438914,w1118,4959,f
109,247,0.874208145,w1118,4959,f
110,46,0.336651584,w1118,4959,f
111,42,0.995475113,w1118,4959,f
112,437,0.994570136,w1118,4959,f
0,265,0.812669683,yak,4959,m
1,313,0.210859729,yak,4959,m
2,329,0.285972851,yak,4959,m
3,427,0.886877828,yak,4959,m
4,328,0.869683258,yak,4959,m
5,259,0.229864253,yak,4959,m
6,349,0.793665158,yak,4959,m
